Index,Country,Continent,Estimate,Year
158,"Saint Helena, Ascension and
Tristan da Cunha",Africa,"7,800",2010
159,Venezuela,Americas,"7,704",2018
160,Uzbekistan,Asia,"7,700",2021
161,India,Asia,"6,600",2021
162,Cape Verde,Africa,"6,100",[n 9]2021
163,Tonga,Oceania,"6,100",2021
164,Tokelau,Oceania,"6,004",2017
165,Marshall Islands,Oceania,"6,000",2021
166,Bangladesh,Asia,"5,900",2021
167,Angola,Africa,"5,900",2021
168,Niue,Oceania,"5,800",2003
169,Nicaragua,Americas,"5,600",2021
170,Honduras,Americas,"5,600",2021
171,Palestine,Asia,"5,600",[n 11]2021
172,Samoa,Oceania,"5,500",2021
173,Ghana,Africa,"5,400",2021
174,Mauritania,Africa,"5,300",2021
175,Ivory Coast,Africa,"5,300",2021
176,Pakistan,Asia,"5,200",2021
177,East Timor,Asia,"5,000",2021
178,Djibouti,Africa,"4,900",2021
179,Nigeria,Africa,"4,900",2021
180,Tuvalu,Oceania,"4,900",2021
181,Kyrgyzstan,Asia,"4,800",2021
182,Kenya,Africa,"4,700",2021
183,Cambodia,Asia,"4,400",2021
184,Myanmar,Asia,"4,400",[n 12]2021
185,São Tomé and Príncipe,Africa,"4,100",2020
186,Tajikistan,Asia,"3,900",2021
187,Nepal,Asia,"3,800",2021
188,Wallis and Futuna,Oceania,"3,800",2004
189,Cameroon,Africa,"3,700",2021
190,Papua New Guinea,Oceania,"3,700",2022
191,Sudan,Africa,"3,700",2021
192,Senegal,Africa,"3,500",2021
193,Benin,Africa,"3,300",2021
194,Micronesia,Oceania,"3,300",2021
195,Congo,Africa,"3,200",2021
196,Zambia,Africa,"3,200",2021
197,Comoros,Africa,"3,200",2021
198,Haiti,Americas,"2,900",2021
199,Syria,Asia,"2,900",2015
200,Vanuatu,Oceania,"2,800",2021
201,Tanzania,Africa,"2,600",2021
202,Guinea,Africa,"2,600",2021
203,Yemen,Asia,"2,500",2017
204,Solomon Islands,Oceania,"2,400",2021
205,Ethiopia,Africa,"2,300",2021
206,Lesotho,Africa,"2,300",2021
207,Uganda,Africa,"2,200",2021
208,Rwanda,Africa,"2,200",2021
209,Burkina Faso,Africa,"2,200",2021
210,Gambia,Africa,"2,100",2021
211,Togo,Africa,"2,100",2021
212,Mali,Africa,"2,100",2021
213,Zimbabwe,Africa,"2,100",2021
214,Kiribati,Oceania,"1,900",2021
215,Guinea-Bissau,Africa,"1,800",2021
216,North Korea,Asia,"1,700",2015
217,Eritrea,Africa,"1,600",2017
218,Sierra Leone,Africa,"1,600",2021
219,South Sudan,Africa,"1,600",2017
220,Afghanistan,Asia,"1,500",2021
221,Madagascar,Africa,"1,500",2021
222,Malawi,Africa,"1,500",2021
223,Liberia,Africa,"1,400",2021
224,Chad,Africa,"1,400",2021
225,Niger,Africa,"1,200",2021
226,Mozambique,Africa,"1,200",2021
227,DR Congo,Africa,"1,100",2021
228,Somalia,Africa,"1,100",2021
229,Central African Republic,Africa,800,2021
230,Burundi,Africa,700,2021
